country,percent
Peru,49.30
Ecuador,42.70
Zambia,40.40
Bolivia,38.40
Dominican Republic,38.40
Venezuela,38.20
El Salvador,38.10
Chile,37.30
Cameroon,36.30
Argentina,35.30
Nicaragua,35.30
South America,34.90
Greece,33.80
Cote d'Ivoire,33.30
Costa Rica,33.10
Brazil,33.00
Tunisia,32.70
Georgia,32.60
Mauritius,32.40
Kenya,32.20
